no,username,testId,topic,Favorite Class,School Improvement,Questions ,School Routine,Project,POP_CULTURE,THEATER,TRAVEL,ANIMALS,COMMUNICATIONS,CAREERS,DIRECTIONS,SCIENCE,
1,A1985080,1285400,Favorite Class,0.09093836815256413,0.044723361311650424,0.0625406963643862,0.040350923088055886,0.03712057302087333,0.03758325076587634,0.03767408551958419,0.029365464201806465,0.026931830293711215,0.04203305151411045,0.0198573764256043,0.019611988836583,0.04021278146132682,
2,A1985080,1285400,School Improvement,0.06599105608896362,0.137792676220392,0.04189925063246048,0.037692056931658675,0.03515564876911918,0.08319013222848792,0.04632064228771711,0.0250347703929428,0.029514158146695356,0.05671522175841914,0.03197829936345129,0.019182642455788282,0.035667491836173446,
3,A1985080,1285400,Questions ,0.05318054136534929,0.06366639509814062,0.19474987199929988,0.07112136073772737,0.05529787644032349,0.05895572700143973,0.057080126563081625,0.03659452221169405,0.03416032350449626,0.05690552151515145,0.03555433506198909,0.0638602665712488,0.04547564146896932,
4,A1985568,1285888,Favorite Class,0.12786426543685114,0.08926232383097324,0.05709789735768297,0.04432674687907242,0.057250498133492166,0.0596592146789775,0.04294463071951542,0.04286185192563773,0.038608206843350014,0.058624007732740895,0.04918259575924951,0.02602548699750619,0.05894205642437842,
5,A1985568,1285888,School Improvement,0.13358513946399503,0.137309239728283,0.06453544361256841,0.04416390585666828,0.07198358085203058,0.0897139250397798,0.06477955796879636,0.0717012032921375,0.06580890179108419,0.07702159662998084,0.052656026020044155,0.03921904018516836,0.0699487918633153,
6,A1985568,1285888,Questions ,0.028302949480392435,0.04921131624697137,0.16270032509622917,0.021290967757063742,0.037019644899947135,0.030799737928956183,0.02419663597932317,0.025932300646220367,0.031140012121864923,0.03685141873374099,0.02939047782558408,0.037223900897798416,0.026330714214845327,
7,A2019982,1314458,Questions ,0.03595114004289236,0.039023864285281394,0.10460125611073831,0.027169956586423828,0.025760721191896888,0.03583344229874561,0.027576070005078668,0.023518741711664674,0.023095927704535626,0.040868176728667716,0.02336792762131921,0.033296577205880015,0.028968794450095425,
8,A2019982,1314458,Favorite Class,0.12572275348444656,0.08704195297154241,0.0433964515553668,0.050355342496647505,0.05022086664817258,0.050865720817032514,0.045953592449370896,0.04813491821927082,0.03490831279510022,0.05219088654574893,0.04213252303879947,0.021794163913872955,0.05291031017231185,
9,A2019982,1314458,School Improvement,0.05259810081734627,0.08299473435187371,0.04529812171368315,0.03227717220346062,0.038239052370320326,0.06337616991616896,0.04765362961321228,0.040445816284161974,0.0308134175227884,0.04624151398594266,0.030290539127124524,0.023900683367330984,0.03265846242378254,
10,A2054024,1345238,Favorite Class,0.07206141292427505,0.05361722488070464,0.027835791240747147,0.031087880237240673,0.048179020674294165,0.04643851660465934,0.03907928764583596,0.0352034045329081,0.03502334620505117,0.04452094197514548,0.03160283245634971,0.021782717294144327,0.05289772396463553,
