no,username,testId,topic,Summer Break,Self Recommnedation,Social media,POP_CULTURE,EDUCATION,ENVIRONMENT,LANGUAGE ARTS,HEALTH,
1,A1917142,1230301,Summer Break,0.23658049754650284,0.11966643964914668,0.10612323144226952,0.09180016175775767,0.11152049384653462,0.10295264567137942,0.10755734948236516,0.06634384015327327,
2,A1917142,1230301,Self Recommnedation,0.12987918687353828,0.26148183452212037,0.10187588352367705,0.07983028631812156,0.11548750385023202,0.10617985472706029,0.1220423395948092,0.05148299558186792,
3,A1917142,1230301,Social media,0.10459197207395801,0.10222647112789714,0.17713020153626124,0.08437385849610252,0.09780372130016869,0.09717160929487006,0.1133361353432783,0.05129870100682447,
4,A1967383,1271724,Summer Break,0.17207607308752026,0.09523274290450547,0.09478214421555126,0.07076241033770747,0.09761623306908612,0.10389803285508972,0.10765192991410896,0.04837128414409123,
5,A1967383,1271724,Self Recommnedation,0.09436765138205844,0.2089842159383471,0.09634580070819809,0.07082579399555053,0.09576599602865456,0.08767935210117508,0.09288655745019789,0.036761639646655526,
6,A1967383,1271724,Social media,0.10347506033414719,0.08196766841020181,0.1626430064284325,0.07283694979908854,0.10274425930217823,0.09628213544362085,0.10433757408691244,0.04188498201776976,
7,A1967399,1271740,Summer Break,0.1625925243781222,0.11086601265929724,0.08900569432098471,0.07191494502345232,0.08827742421820262,0.09545054402251772,0.08866327367311679,0.059753609411137616,
8,A1967399,1271740,Self Recommnedation,0.002791264020722716,0.003069576900380922,0.0028590841451490902,0.0,0.007587777198278305,0.007040465894356411,0.003609440867206287,0.0009042730380098676,
9,A1967399,1271740,Social media,0.08281762546294649,0.06949237290126511,0.21687646261571875,0.08583834021642055,0.08960018407677431,0.07094289543428142,0.09406733749216827,0.035862554291901175,
10,A1987027,1287344,Summer Break,0.26810484730801043,0.11585748042482955,0.1240165237142791,0.11560422166698305,0.13124225490051364,0.11865705562114316,0.1207298296455541,0.06996870833099753,
11,A1987027,1287344,Self Recommnedation,0.14957706247486177,0.23995425006065535,0.13301454679121164,0.09007253495296706,0.13475677363098465,0.1344657046795862,0.14571005665976128,0.065999670161168,
12,A1987027,1287344,Social media,0.12578944809699694,0.11949361656898122,0.24698579108867658,0.11220934422688074,0.12730963763935293,0.1416167673842544,0.13523809045454005,0.05981380720788769,
13,A1987135,1287452,Summer Break,0.14983079831541582,0.052081046804581574,0.057699578531401986,0.052822262950758814,0.0527398920539197,0.04881514530437006,0.052510518082593896,0.030816971802958875,
14,A1987135,1287452,Self Recommnedation,0.09056382048243569,0.17342632578019798,0.08844313669718455,0.06568843176972707,0.08245323559520266,0.08218913967965485,0.0882227416866532,0.038136761429245894,
15,A1987135,1287452,Social media,0.0706146881283965,0.0669683672500415,0.10258303967077773,0.07227646587595793,0.09565000029933499,0.09258860978202252,0.08924087219542962,0.041365574316009686,
16,A1987227,1287544,Summer Break,0.15300017048788797,0.08404910065579291,0.08359338593257905,0.07179705204532583,0.08926053119709497,0.09118491037971263,0.09818010455919156,0.053406626956924885,
17,A1987227,1287544,Self Recommnedation,0.09729338561829748,0.1729249309084107,0.07823622415007306,0.06251732959818909,0.0890454262655693,0.07674352439694473,0.08889525879806193,0.03640304083223622,
