no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected
1,0.8902503216505473,0.886285679501077,0.8678867742944922,0.7089447425137765,0.8902503216505473,I-MF,I-MF
2,0.8386011885242727,0.8500765085060982,0.8439117636203833,0.744421014880508,0.8500765085060982,I-MM,I-MM
3,0.6646388829039281,0.7100686669860912,0.7185435001280301,0.6582402868269429,0.7185435001280301,I-SE,I-MM
4,0.6646388829039281,0.7100686669860912,0.7185435001280301,0.6582402868269429,0.7185435001280301,I-SE,I-MM
5,0.8386011885242727,0.8500765085060982,0.8439117636203833,0.744421014880508,0.8500765085060982,I-MM,I-MF
6,0.8902503216505473,0.886285679501077,0.8678867742944922,0.7089447425137765,0.8902503216505473,I-MF,I-MM
7,0.8594360772453058,0.8593792340508752,0.8525520109085083,0.7238468956523392,0.8594360772453058,I-MF,I-SE
8,0.8065000862400632,0.8323152428301857,0.8627497940137053,0.9476698660575729,0.9476698660575729,I-NE,I-MM
9,0.8658611295630221,0.8830612050244638,0.9058093340255022,0.9555581495748757,0.9555581495748757,I-NE,I-MM
10,0.8658611295630221,0.8830612050244638,0.9058093340255022,0.9555581495748757,0.9555581495748757,I-NE,I-SE
11,0.8065000862400632,0.8323152428301857,0.8627497940137053,0.9476698660575729,0.9476698660575729,I-NE,I-MM
12,0.8594360772453058,0.8593792340508752,0.8525520109085083,0.7238468956523392,0.8594360772453058,I-MF,I-SE
13,0.9485742721799708,0.9601792092010529,0.9600667871072041,0.8463607922423041,0.9601792092010529,I-MM,I-MF
14,0.929925496066949,0.9393151806201088,0.9357339897944189,0.8253780136585962,0.9393151806201088,I-MM,I-MF
15,0.8454118385693661,0.8727622593389294,0.8837756846750902,0.8159269538215125,0.8837756846750902,I-SE,I-SE
16,0.8454118385693661,0.8727622593389294,0.8837756846750902,0.8159269538215125,0.8837756846750902,I-SE,I-SE
17,0.929925496066949,0.9393151806201088,0.9357339897944189,0.8253780136585962,0.9393151806201088,I-MM,I-MF
18,0.9485742721799708,0.9601792092010529,0.9600667871072041,0.8463607922423041,0.9601792092010529,I-MM,I-MF
19,0.7192535245155489,0.7400466842266693,0.7373387303079999,0.6161794586553717,0.7400466842266693,I-MM,I-MM
20,0.7572913879039613,0.7704320026422452,0.7640595828214316,0.6547600024207323,0.7704320026422452,I-MM,I-MM
21,0.7401328568058259,0.7781849352667319,0.7812834734909396,0.7065892367120133,0.7812834734909396,I-SE,I-MM
22,0.7401328568058259,0.7781849352667319,0.7812834734909396,0.7065892367120133,0.7812834734909396,I-SE,I-MM
23,0.7572913879039613,0.7704320026422452,0.7640595828214316,0.6547600024207323,0.7704320026422452,I-MM,I-MM
24,0.7192535245155489,0.7400466842266693,0.7373387303079999,0.6161794586553717,0.7400466842266693,I-MM,I-MM
25,0.932694263054764,0.9451378153216288,0.9439656120608974,0.8485716601211999,0.9451378153216288,I-MM,I-SE
26,0.8712837829010934,0.8849455151246295,0.8690868616042942,0.713061064606048,0.8849455151246295,I-MM,I-SE
27,0.7551481591949528,0.7724092644448438,0.771420067882132,0.6801470626012142,0.7724092644448438,I-MM,I-SE
28,0.7551481591949528,0.7724092644448438,0.771420067882132,0.6801470626012142,0.7724092644448438,I-MM,I-SE
29,0.8712837829010934,0.8849455151246295,0.8690868616042942,0.713061064606048,0.8849455151246295,I-MM,I-SE
30,0.932694263054764,0.9451378153216288,0.9439656120608974,0.8485716601211999,0.9451378153216288,I-MM,I-SE
31,0.8955889166282548,0.8771345121023784,0.8617556947563573,0.717363554210412,0.8955889166282548,I-MF,I-MM
32,0.9172604781217841,0.8912605073830476,0.8776301216910983,0.738808309759579,0.9172604781217841,I-MF,I-MM
33,0.9088373115434182,0.9183434384110628,0.9313391139679125,0.8988418171232521,0.9313391139679125,I-SE,I-MM
34,0.9088373115434182,0.9183434384110628,0.9313391139679125,0.8988418171232521,0.9313391139679125,I-SE,I-MM
35,0.9172604781217841,0.8912605073830476,0.8776301216910983,0.738808309759579,0.9172604781217841,I-MF,I-SE
36,0.8955889166282548,0.8771345121023784,0.8617556947563573,0.717363554210412,0.8955889166282548,I-MF,I-MM
37,0.9475615040688077,0.9346200703237777,0.9231756207246228,0.8026618438445661,0.9475615040688077,I-MF,I-MF
38,0.9479728819828873,0.9257643799669639,0.9178472141804274,0.8098809648384905,0.9479728819828873,I-MF,I-MF
39,0.9475878844603414,0.9550240076137381,0.9559753741791999,0.8667999355534252,0.9559753741791999,I-SE,I-MF
40,0.9475878844603414,0.9550240076137381,0.9559753741791999,0.8667999355534252,0.9559753741791999,I-SE,I-MF
41,0.9479728819828873,0.9257643799669639,0.9178472141804274,0.8098809648384905,0.9479728819828873,I-MF,I-MF
42,0.9475615040688077,0.9346200703237777,0.9231756207246228,0.8026618438445661,0.9475615040688077,I-MF,I-MF
43,0.8940979913140128,0.8956076690400177,0.9042992713690948,0.8930817027948561,0.9042992713690948,I-SE,I-MM
44,0.8800048320769115,0.8834457206939352,0.8693374741627612,0.7236600078799752,0.8834457206939352,I-MM,I-MM
45,0.7385886089024107,0.7611161641446117,0.7545785735990821,0.6185535457023148,0.7611161641446117,I-MM,I-MM
46,0.7385886089024107,0.7611161641446117,0.7545785735990821,0.6185535457023148,0.7611161641446117,I-MM,I-MM
47,0.8800048320769115,0.8834457206939352,0.8693374741627612,0.7236600078799752,0.8834457206939352,I-MM,I-MM
48,0.8940979913140128,0.8956076690400177,0.9042992713690948,0.8930817027948561,0.9042992713690948,I-SE,I-MM
49,0.8655914432095833,0.8381979427720634,0.8379567530864076,0.7751398727961949,0.8655914432095833,I-MF,I-SE
50,0.838747689627534,0.8210674196460478,0.8093761825856276,0.7125195268952633,0.838747689627534,I-MF,I-NE
51,0.8457033159264187,0.8626143003761038,0.8605048032249851,0.7718311932378858,0.8626143003761038,I-MM,I-SE
52,0.8457033159264187,0.8626143003761038,0.8605048032249851,0.7718311932378858,0.8626143003761038,I-MM,I-SE
