no,username,testId,topic,Favorite Class,School Improvement,Questions ,School Routine,Project,POP_CULTURE,THEATER,TRAVEL,ANIMALS,COMMUNICATIONS,DIRECTIONS,CAREERS,SCIENCE,
1,A1923167,1235546,Favorite Class,0.003409168501836979,0.003904674201180907,0.008936272255036327,0.019255584112811322,0.023115513705716358,0.016427944502971886,0.012635975429417289,0.008589973161090992,0.004076523915173889,0.005935769613250646,0.003373862873696761,0.0,0.0,
2,A1923167,1235546,School Improvement,0.003409168501836979,0.003904674201180907,0.008936272255036327,0.019255584112811322,0.023115513705716358,0.016427944502971886,0.012635975429417289,0.008589973161090992,0.004076523915173889,0.005935769613250646,0.003373862873696761,0.0,0.0,
3,A1923167,1235546,Questions ,0.003409168501836979,0.003904674201180907,0.008936272255036327,0.019255584112811322,0.023115513705716358,0.016427944502971886,0.012635975429417289,0.008589973161090992,0.004076523915173889,0.005935769613250646,0.003373862873696761,0.0,0.0,
4,A1938010,1248534,School Routine,0.047072811337556295,0.04825048421972038,0.03337767772002241,0.1624001603427532,0.03106614628298956,0.05160564510322653,0.06919917222558906,0.040985041931350184,0.03203656869907168,0.053311912979270355,0.04860625999956189,0.02053558137220623,0.04961743849223838,
5,A1938010,1248534,Project,0.04900127714261003,0.034996877851473804,0.025274734453067407,0.02725717629926288,0.13147027884233312,0.04443303739443462,0.03805435728499081,0.03523494284911764,0.041091690015065345,0.053240918176965336,0.027595091455876377,0.023775578340949004,0.050864918290520325,
6,A1938010,1248534,Questions ,0.02394407842534961,0.04212722950151532,0.17754644805246766,0.01730442832514284,0.037600488914242336,0.049590761873903266,0.044437542923275807,0.03641320469965467,0.045577336645489464,0.055418227633720854,0.059467909522163805,0.04165780154838528,0.035603906548177994,
7,A1985240,1285560,Favorite Class,0.060365702274344915,0.05993408445113797,0.03074558069400887,0.03784186596665555,0.0292282312844833,0.04665608717767412,0.041829967213907145,0.03198074031252565,0.026515837757682747,0.0303852394582784,0.023626021654629292,0.025467734671243178,0.027476209393689718,
8,A1985240,1285560,School Improvement,0.06790314653046861,0.09122865922631776,0.034782714671196646,0.040012944399996406,0.029585230249763367,0.05588147135417234,0.03377531683178681,0.03152961536604166,0.028983232170554905,0.040705677039680595,0.013344790378329613,0.029955833391831575,0.03000441461068271,
9,A1985240,1285560,Questions ,0.01885316644611512,0.018558283384554772,0.07893400891103386,0.011994508689604024,0.01962066531701871,0.02881142769112348,0.03325023006185961,0.029753934720451212,0.022789826507400603,0.028296207926343436,0.03049669275250999,0.013449013889479102,0.017736589098073036,
10,A1985304,1285624,Favorite Class,0.06357656160133103,0.038203526728856164,0.030533007512531532,0.04528337973821351,0.03768526825489396,0.04548741733031321,0.055530355815354926,0.0387027798794789,0.03162497682932855,0.044417269435876594,0.040204404691654524,0.02925462561465529,0.044514099045894324,
