no,testId,topic,distIMF,distIMM,distISE,distINE,maxSim,predicted,expected,binary,distIMF-pos,distIMM-pos,distISE-pos,distINE-pos
1,1359190,Summer Break,0.08664581552,0.07870966591,0.08015227948,0.05390099661,0.08664581552,A-MF,A-SE,NESE,0.5490495893,0.5425290552,0.5460512449,0.54580648
2,1359190,Self Recommnedation,0.1152490138,0.1087947247,0.1068613019,0.06886367386,0.1152490138,A-MF,A-SE,NESE,0.5868375196,0.5822419537,0.5786851501,0.5635321117
3,1359190,Social media,0.04600946315,0.03817906292,0.0373434794,0.0491125824,0.0491125824,A-NE,A-NE,NESE,0.2184282921,0.2160773682,0.2181121308,0.2235444467
4,1378289,Summer Break,0.1320580873,0.1560733153,0.1359995728,0.09026090356,0.1560733153,A-MM,A-MM,MMMF,0.7647148263,0.7680235031,0.7666955842,0.7340118921
5,1378289,Self Recommnedation,0.1749108335,0.1956382018,0.1819012185,0.1255077205,0.1956382018,A-MM,A-MM,MMMF,0.8183649871,0.8233522141,0.8228124197,0.7932798855
6,1378289,Social media,0.1503333182,0.1509589495,0.1738041624,0.1255481167,0.1738041624,A-SE,A-SE,NESE,0.7441541476,0.7488314423,0.7542887627,0.7366482851
7,1424039,Summer Break,0.03344995366,0.03340843188,0.03386223203,0.04588952392,0.04588952392,A-NE,A-NE,NESE,0.2362113511,0.2332271824,0.23188595,0.2312905461
8,1424039,Self Recommnedation,0.07664879415,0.06901216266,0.06611944491,0.07029637038,0.07664879415,A-MF,A-NE,NESE,0.5219486563,0.5182274565,0.511069467,0.4760226406
9,1424039,Social media,0.05453601976,0.04768404696,0.04864708826,0.07732699522,0.07732699522,A-NE,A-NE,NESE,0.5100993118,0.5088306522,0.5068556675,0.5108705603
10,1561494,Summer Break,0.1765829892,0.1583748554,0.1453241771,0.09957966901,0.1765829892,A-MF,A-MF,MMMF,0.8304593942,0.8311068632,0.829100386,0.80821937
11,1561494,Self Recommnedation,0.2146744272,0.1877457729,0.1810049445,0.1281359961,0.2146744272,A-MF,A-MF,MMMF,0.8440878087,0.8403177849,0.8354043102,0.8138473857
12,1561494,Social media,0.18477327,0.1437138765,0.1462026303,0.1063094329,0.18477327,A-MF,A-MF,MMMF,0.8301826661,0.8260881324,0.8256272074,0.8038614103
13,1632557,Summer Break,0.1691532385,0.1512589795,0.1395175645,0.09338576311,0.1691532385,A-MF,A-MF,MMMF,0.8473019146,0.8448044008,0.8438783692,0.823815125
14,1632557,Self Recommnedation,0.1927044071,0.1743409346,0.1718058064,0.1203908385,0.1927044071,A-MF,A-MF,MMMF,0.7779328336,0.7714981044,0.7729772439,0.7656309039
15,1632557,Social media,0.1650219387,0.1487312662,0.1592376028,0.1052962365,0.1650219387,A-MF,A-SE,NESE,0.7380884046,0.7288244805,0.7300906695,0.7304378263
16,1702681,Summer Break,0,0,0,0.006400036647,0.006400036647,A-NE,A-NE,NESE,0,0,0,0
17,1702681,Self Recommnedation,0,0,0,0.006400036647,0.006400036647,A-NE,A-NE,NESE,0,0,0,0
18,1702681,Social media,0.00405758034,0.004534908494,0.01069114974,0.05003636469,0.05003636469,A-NE,A-NE,NESE,0.1262281997,0.1286948461,0.137207558,0.1655504921
19,1782928,Summer Break,0.156006519,0.1381872584,0.1317955528,0.09238541567,0.156006519,A-MF,A-MF,MMMF,0.7288988832,0.720893355,0.7215634916,0.7153785643
20,1782928,Self Recommnedation,0.2077515253,0.1810772032,0.1761797808,0.1294430677,0.2077515253,A-MF,A-MF,MMMF,0.7434778932,0.7331609707,0.7302384732,0.7414314224
21,1782928,Social media,0.1722676387,0.1465019477,0.1458243353,0.1141060115,0.1722676387,A-MF,A-MF,MMMF,0.7189385469,0.7112568233,0.7118415264,0.7148324705
22,1799949,Summer Break,0.161848559,0.1805827329,0.146651344,0.09848026257,0.1805827329,A-MM,A-MM,MMMF,0.8303595057,0.83503935,0.8244556206,0.7884139946
23,1799949,Self Recommnedation,0.1599462349,0.1735443657,0.1576866894,0.1273181574,0.1735443657,A-MM,A-MM,MMMF,0.6996941473,0.6944635402,0.6959941943,0.713738986
24,1799949,Social media,0.1359263881,0.1220305819,0.1316916565,0.09726549455,0.1359263881,A-MF,A-SE,NESE,0.649280998,0.6424077193,0.6385604608,0.6179953092
25,1800143,Summer Break,0.130838824,0.1178915078,0.1137393005,0.07378644802,0.130838824,A-MF,A-MF,MMMF,0.7413515551,0.7435904902,0.7412723622,0.7162787725
26,1800143,Self Recommnedation,0.1779684261,0.1458075792,0.1393159087,0.09853588842,0.1779684261,A-MF,A-MF,MMMF,0.817453372,0.8147251047,0.812800004,0.7979615031
