no, testId,topic, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected
1,2604618,TRAVEL,0.2170960218376321,0.04145946380335976,0.01731486062978108,0.00284779019136301,0.2170960218376321,I-MF,I-MF
2,2604618,THEATER,0.19328202803191402,0.06628895851375324,0.033643191008293286,0.004467519932963435,0.19328202803191402,I-MF,I-MF
3,2604618,POP_CULTURE,0.18951737296858934,0.06809421124571,0.05182325178953209,0.00229897790929616,0.18951737296858934,I-MF,I-MF
4,2479815,COMMUNICATIONS,0.07041351263383568,0.20554518295121674,0.01603883503281013,0.012946320268236132,0.20554518295121674,I-MM,I-MM
5,2479815,ANIMALS,0.17473574143015874,0.06523893379395088,0.01760073756409694,0.00618953345178761,0.17473574143015874,I-MF,I-MF
6,2479815,DIRECTIONS,0.13772353485058247,0.02909698281182839,0.009899799016500373,0.0011890056865797912,0.13772353485058247,I-MF,I-MF
7,2480898,ANIMALS,0.0,0.0,0.0,0.1364067385857233,0.1364067385857233,I-NE,I-NE
8,2480898,COMMUNICATIONS,0.08431669017592898,0.060886556891017206,0.47218391394439596,0.0038036640823824915,0.47218391394439596,I-SE,I-SE
9,2480898,POP_CULTURE,0.0,0.0,0.0,0.1364067385857233,0.1364067385857233,I-NE,I-NE
10,2480918,ANIMALS,0.11105035219470279,0.27049935314227147,0.05135591975401121,0.014481950380403421,0.27049935314227147,I-MM,I-MM
11,2480918,COMMUNICATIONS,0.13810136031263232,0.3005738745285415,0.0774761543024736,0.004177891566714342,0.3005738745285415,I-MM,I-MM
12,2480918,POP_CULTURE,0.16924975015595534,0.08697897842621885,0.059125825036857746,0.0036797713269429537,0.16924975015595534,I-MF,I-MF
13,2523363,POP_CULTURE,0.17273047329548344,0.057672445176833946,0.03934456824799473,0.003526870301161527,0.17273047329548344,I-MF,I-MF
14,2523363,COMMUNICATIONS,0.13276972818457625,0.02964720637600962,0.014260818679696403,0.003577011635056858,0.13276972818457625,I-MF,I-MF
15,2523363,ANIMALS,0.15696431238866645,0.0553078902613786,0.02114634202484933,0.006457634013596459,0.15696431238866645,I-MF,I-MF
16,2503836,COMMUNICATIONS,0.2001466683121066,0.0839813197801635,0.039010577794794346,0.005879769930381671,0.2001466683121066,I-MF,I-MF
17,2503836,DIRECTIONS,0.1312470764122727,0.41870248735215854,0.030481721482140213,0.0054484850666190205,0.41870248735215854,I-MM,I-MM
18,2503836,ANIMALS,0.23679594857839276,0.07773507887828199,0.032200163505827155,0.016582581023866453,0.23679594857839276,I-MF,I-MF
19,2505588,COMMUNICATIONS,0.1804741991383613,0.06466668413499185,0.026770549502837644,0.00520306914564717,0.1804741991383613,I-MF,I-MF
20,2505588,DIRECTIONS,0.16336319077879188,0.0847255093602247,0.022976501868478882,0.005731696918455842,0.16336319077879188,I-MF,I-MF
21,2505588,ANIMALS,0.19926682813614333,0.07746091540645272,0.023119817934886565,0.012457272276148446,0.19926682813614333,I-MF,I-MF
22,2553763,TRAVEL,0.19511214422241355,0.03979816309391765,0.02363948326266059,0.005372380777793777,0.19511214422241355,I-MF,I-MF
23,2553763,THEATER,0.19877636624677805,0.06541832086170317,0.03529189160938819,0.005823710137298391,0.19877636624677805,I-MF,I-MF
24,2553763,POP_CULTURE,0.1733711231448341,0.04929391841631693,0.020184915279152497,0.003074220557794906,0.1733711231448341,I-MF,I-MF
25,2479309,COMMUNICATIONS,0.0014471176637392488,0.0,0.003641138903770667,0.2991326814650906,0.2991326814650906,I-NE,I-NE
26,2479309,ANIMALS,0.07726899684208274,0.22248398080855536,0.04371909195636188,0.005613242105775464,0.22248398080855536,I-MM,I-MM
27,2479309,POP_CULTURE,0.0006040583597065831,0.0,0.0,0.2931156587279182,0.2931156587279182,I-NE,I-NE
28,2523755,COMMUNICATIONS,0.05442955301167416,0.18635618203748158,0.01241961069270939,0.00048688174083883027,0.18635618203748158,I-MM,I-MM
29,2523755,POP_CULTURE,0.06498081872509533,0.1567166928090959,0.010059023609982662,0.0025072450122442737,0.1567166928090959,I-MM,I-MM
30,2523755,ANIMALS,0.07931368106149331,0.03035073621196618,0.013392570290582183,0.007138948902861897,0.07931368106149331,I-MF,I-MF
31,2525724,THEATER,0.2513371977760484,0.07967437940971613,0.029410112262536644,0.007577807207140097,0.2513371977760484,I-MF,I-MF
32,2525724,POP_CULTURE,0.2734342628986286,0.08225041305141828,0.045524233712461115,0.005690014255648742,0.2734342628986286,I-MF,I-MF
33,2525724,TRAVEL,0.23203444968507922,0.06431688728079009,0.024904291693087034,0.0052870880504424875,0.23203444968507922,I-MF,I-MF
34,2480214,POP_CULTURE,0.0,0.0,0.0,0.1364067385857233,0.1364067385857233,I-NE,I-NE
35,2480214,ANIMALS,0.011426170964863413,0.03154542903221692,0.19788552215897648,0.0,0.19788552215897648,I-SE,I-SE
36,2480214,COMMUNICATIONS,0.0,0.0,0.0,0.1364067385857233,0.1364067385857233,I-NE,I-NE
