no,username,testId,topic,Summer Break,Self Recommnedation,Social media,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,POP_CULTURE,HEALTH,
1,A2069488,1359190,Summer Break,0.08707700441461855,0.055136554911727684,0.06482137179158001,0.05726232210822417,0.059009737420221496,0.052327803559557726,0.043643407690560194,0.04492262375622397,
2,A2069488,1359190,Self Recommnedation,0.07198415241418149,0.15086167485563456,0.06289817077161468,0.06241183040707414,0.05693659920252038,0.057267450023190225,0.035320425255233955,0.03247246226634991,
3,A2069488,1359190,Social media,0.025782827454486,0.024330252389080605,0.058963327492892695,0.030301833607779362,0.023910423590822863,0.03212295132013727,0.018996612564628475,0.017537411394364245,
4,A2089874,1378289,Summer Break,0.16991921425276982,0.09169335832667869,0.08971417942316974,0.09623450965673688,0.08281390584083954,0.07700921382951506,0.06162540761574336,0.051744344490501776,
5,A2089874,1378289,Self Recommnedation,0.13453948451687456,0.20848861430238677,0.12094199781916873,0.12095136642225753,0.11833496975259591,0.10396222269487818,0.07462594714128634,0.07317047924383423,
6,A2089874,1378289,Social media,0.11198587103269847,0.11420271065035285,0.19380986379604387,0.10489744773517093,0.09192915639263932,0.09314849933146056,0.06485056234694883,0.05489868226865276,
7,A2137820,1424039,Summer Break,0.04004509849011667,0.028290935424309823,0.02078369710797143,0.015887777278646376,0.018308084024988715,0.01761279490754742,0.011938549402038381,0.01626447385489424,
8,A2137820,1424039,Self Recommnedation,0.04898000668234326,0.0785723890561231,0.05061587700094825,0.05234830149384774,0.044905343832339496,0.04966188372287297,0.031051106949035272,0.02793768541271418,
9,A2137820,1424039,Social media,0.03944499464530339,0.03538040086402722,0.05472381726785025,0.052502795141988245,0.04283028029652469,0.03881371296830741,0.03421669752157357,0.041063744440341304,
10,A2280733,1561494,Summer Break,0.1895081360895881,0.11046226587045924,0.10327827261759084,0.10159221796088859,0.10176741892770044,0.10172431253931324,0.07021441974087397,0.054960783357061456,
11,A2280733,1561494,Self Recommnedation,0.1419735290745971,0.22963822358138647,0.12707141586772452,0.1387916118666266,0.11741777756958949,0.11624974844831007,0.08320045165071026,0.07558810572468838,
12,A2280733,1561494,Social media,0.1018605456323419,0.10531347560737545,0.20982589768364834,0.12620140869518168,0.11040854625147258,0.10938125481814394,0.0819275807693351,0.0854564165559697,
13,A2354445,1632557,Summer Break,0.19084101599820988,0.10210471871839183,0.09476944442022003,0.10797363579597447,0.09602240849983694,0.0841827584052112,0.06709276296718808,0.06665967144388119,
14,A2354445,1632557,Self Recommnedation,0.11701970111048032,0.24250092629563724,0.10911147877165969,0.10340701261101373,0.11622903398072598,0.10001975408541294,0.0699278744208982,0.059197140021971226,
15,A2354445,1632557,Social media,0.10823180258839406,0.10098244968425013,0.20433381613359078,0.1351834316246726,0.1123450327079954,0.10859138369870844,0.0820264510293292,0.07452986972797704,
16,A2430897,1702681,Summer Break,0.00032483027244059506,0.0003293439259514249,0.0,0.0,0.0006721759757475976,0.0007939269362013261,0.0,0.0,
17,A2430897,1702681,Self Recommnedation,0.00032483027244059506,0.0003293439259514249,0.0,0.0,0.0006721759757475976,0.0007939269362013261,0.0,0.0,
18,A2430897,1702681,Social media,0.002207764926967795,0.0010860504445865198,0.024949114881019113,0.0021530673031295113,0.0008191204381516454,0.0022291174881520154,0.0018013861290335144,0.0003036024157587936,
19,A2539503,1782928,Summer Break,0.15624877376465984,0.10684706278976668,0.093711065160737,0.10269543307726114,0.09185776883979441,0.08503743325565367,0.0742218864263757,0.061563020579749106,
20,A2539503,1782928,Self Recommnedation,0.1286730025684908,0.2334508655795262,0.12550837591709038,0.11955708159992895,0.10931580021622797,0.10986551144518962,0.07571603432707717,0.06828521608268873,
21,A2539503,1782928,Social media,0.10249790701940872,0.11089139602279965,0.19606518694662572,0.11428467381260951,0.10205474357982935,0.10806567155813711,0.07759084647406528,0.08138691548587537,
22,A2563089,1799949,Summer Break,0.19553373323716716,0.10447013878684072,0.10245884314106705,0.10161579470427955,0.095363649105088,0.09373517288896933,0.07641994680596029,0.06640962136123293,
23,A2563089,1799949,Self Recommnedation,0.11198003802314843,0.1871211738135207,0.11215756159602962,0.11823708705120756,0.09395294134037444,0.09595008862029225,0.06412343417050555,0.06333160170057503,
24,A2563089,1799949,Social media,0.09135069917642356,0.08327571666765608,0.17442093905101846,0.09588245818979552,0.07579741326821937,0.07903246833633229,0.06465438860397552,0.053690685680147135,
25,A2563372,1800143,Summer Break,0.1607810687442326,0.06923440137987837,0.08131399326792137,0.07015811248119941,0.06484619708215959,0.06942997960587205,0.058161843377678324,0.0516723238971365,
26,A2563372,1800143,Self Recommnedation,0.1084733999052391,0.17999630905801864,0.10137814271814766,0.11783259553400756,0.09451039116918489,0.09501385160950018,0.06576037731560927,0.06414094804874006,
27,A2563372,1800143,Social media,0.0801346999931451,0.08372278003870623,0.20779671811735717,0.08573233349510544,0.09438769122930174,0.08181667421137528,0.061239799263820865,0.06551959405779038,
