no, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected,,Overall,
1,0.53674285,0.58675714,0.539433809,0.348538942,0.58675714,I-MM,I-MF,,Correct,9500
2,0.62061737,0.687662872,0.640395574,0.413920556,0.687662872,I-MM,I-MM,,Total,19069
3,0.270102594,0.246187893,0.210519217,0.100356304,0.270102594,I-MF,I-MM,,Percentage,50%
4,0.270102594,0.246187893,0.210519217,0.100356304,0.270102594,I-MF,I-MM,,IMF,
5,0.62061737,0.687662872,0.640395574,0.413920556,0.687662872,I-MM,I-MF,,Correct,4694
6,0.53674285,0.58675714,0.539433809,0.348538942,0.58675714,I-MM,I-MM,,Total,7170
7,0.336591129,0.352706028,0.326310615,0.180486692,0.352706028,I-MM,I-SE,,Percentage,65%
8,0.499545365,0.604307371,0.573252144,0.38048333,0.604307371,I-MM,I-MM,,IMM,
9,0.45069666,0.481872893,0.460202831,0.295761528,0.481872893,I-MM,I-MM,,Correct,2480
10,0.45069666,0.481872893,0.460202831,0.295761528,0.481872893,I-MM,I-SE,,Total,5529
11,0.499545365,0.604307371,0.573252144,0.38048333,0.604307371,I-MM,I-MM,,Percentage,45%
12,0.336591129,0.352706028,0.326310615,0.180486692,0.352706028,I-MM,I-SE,,ISE,
13,0.676685386,0.714794658,0.670190944,0.445826133,0.714794658,I-MM,I-MF,,Correct,986
14,0.708567932,0.680796694,0.622913066,0.416219146,0.708567932,I-MF,I-MF,,Total,4080
15,0.261927548,0.247942232,0.234994002,0.164846651,0.261927548,I-MF,I-SE,,Percentage,24%
16,0.261927548,0.247942232,0.234994002,0.164846651,0.261927548,I-MF,I-SE,,INE,
17,0.708567932,0.680796694,0.622913066,0.416219146,0.708567932,I-MF,I-MF,,Correct,1340
18,0.676685386,0.714794658,0.670190944,0.445826133,0.714794658,I-MM,I-MF,,Total,2290
19,0.503706731,0.627072557,0.60584936,0.395272939,0.627072557,I-MM,I-MM,,Percentage,59%
20,0.478235308,0.556850579,0.53527875,0.351712503,0.556850579,I-MM,I-MM,,,
21,0.293297532,0.337693898,0.341622615,0.200301375,0.341622615,I-SE,I-MM,,,
22,0.293297532,0.337693898,0.341622615,0.200301375,0.341622615,I-SE,I-MM,,,
23,0.478235308,0.556850579,0.53527875,0.351712503,0.556850579,I-MM,I-MM,,,
24,0.503706731,0.627072557,0.60584936,0.395272939,0.627072557,I-MM,I-MM,,,
25,0.567472474,0.618545986,0.587453242,0.411027649,0.618545986,I-MM,I-SE,,,
26,0.528495887,0.548361235,0.526216636,0.37534936,0.548361235,I-MM,I-SE,,,
27,0.225598853,0.258499739,0.247403837,0.152893069,0.258499739,I-MM,I-SE,,,
28,0.225598853,0.258499739,0.247403837,0.152893069,0.258499739,I-MM,I-SE,,,
29,0.528495887,0.548361235,0.526216636,0.37534936,0.548361235,I-MM,I-SE,,,
30,0.567472474,0.618545986,0.587453242,0.411027649,0.618545986,I-MM,I-SE,,,
31,0.526058554,0.564398941,0.497530108,0.30089072,0.564398941,I-MM,I-MM,,,
32,0.520815858,0.495658025,0.459887926,0.271800979,0.520815858,I-MF,I-MM,,,
