no,username,testId,topic,About Me,Things To Do,Best Friend,School Supplies,Wishlist,CELEBRATIONS,CITY_TOWN,WEATHER,FAMILY,
1,A1923167,1235546,About Me,0.01104520510638348,0.015360284514281305,0.02344893572913228,0.03852413624032796,0.013362581571770985,0.010055317172098151,0.029784436203640165,0.009250390203131528,0.0032002078800347908,
2,A1923167,1235546,Things To Do,0.01104520510638348,0.015360284514281305,0.02344893572913228,0.03852413624032796,0.013362581571770985,0.010055317172098151,0.029784436203640165,0.009250390203131528,0.0032002078800347908,
3,A1923167,1235546,Best Friend,0.01104520510638348,0.015360284514281305,0.02344893572913228,0.03852413624032796,0.013362581571770985,0.010055317172098151,0.029784436203640165,0.009250390203131528,0.0032002078800347908,
4,A1985304,1285624,About Me,0.1638858924554469,0.06398135204735136,0.06524292250400406,0.03710309452069961,0.02798677620133036,0.10516144943832062,0.07754106678920832,0.050506293812580795,0.14517104806556644,
5,A1985304,1285624,Things To Do,0.06317134938465448,0.10040983134287096,0.05623520558746088,0.006336317552180866,0.012052326144944139,0.04808643222332855,0.04092414033645647,0.031037819355909425,0.0686617694945226,
6,A1985304,1285624,Best Friend,0.07933028698693573,0.07191150379358091,0.17697557171768669,0.016083508855221234,0.01668901463097118,0.0745570199679608,0.055523834953556374,0.046777170280159035,0.09324839784334113,
7,A2061992,1352635,Things To Do,0.01104520510638348,0.015360284514281305,0.02344893572913228,0.03852413624032796,0.013362581571770985,0.010055317172098151,0.029784436203640165,0.009250390203131528,0.0032002078800347908,
8,A2088863,1377426,About Me,0.2000995038868202,0.114682866947888,0.07197411936404614,0.035916480242233144,0.04992876022741913,0.12462950278304266,0.10669753671074479,0.0918357279706617,0.10576336277222653,
9,A2088863,1377426,Things To Do,0.08454342231125707,0.20842798076146155,0.06427686168096716,0.033255514307126734,0.04170188148438662,0.0829621283780036,0.09094702230725522,0.05026197362237633,0.06333485774599534,
10,A2088863,1377426,Best Friend,0.07793009994218988,0.07460288238390131,0.27831383526525005,0.029674026478268153,0.03304555010919905,0.10618053904634146,0.09961840753765819,0.0653353501353093,0.09568540987410651,
11,A2088945,1377508,About Me,0.16856015431262594,0.08609572966581783,0.05244665055625086,0.04812145421807603,0.05051417553122195,0.10652265503238713,0.11456998873582555,0.0672210056129548,0.09470480241927935,
12,A2088945,1377508,Things To Do,0.08155764888253868,0.2220379374080927,0.06656565515753328,0.0504159044315417,0.033370263791108176,0.11486131694129852,0.12171344717565599,0.07062695519059728,0.07688128875605733,
13,A2088945,1377508,Best Friend,0.04729950977523829,0.033976704043316416,0.15618187265112882,0.0073663226872833654,0.007794602921090488,0.06842200287656462,0.06059563639228525,0.04463024107329002,0.0635062623760386,
14,A2111575,1398952,About Me,0.16200810535196355,0.08928239478635851,0.08973133805678236,0.03161759504030928,0.03446648003084887,0.12194715811078978,0.1289773652904513,0.08539510576172737,0.1385182689500103,
15,A2111951,1399325,About Me,0.11957260873123525,0.054376888704233864,0.08813750398905607,0.014500189288431345,0.018426917781492257,0.05120484966702275,0.04795547011476513,0.05330426262501846,0.06502102559350019,
