no,username,testId,topic,Favorite Class,School Improvement,Questions,School Routine,Project,ANIMALS,COMMUNICATIONS,DIRECTIONS,POP_CULTURE,THEATER,TRAVEL,CAREERS,SCIENCE
1,A2062098,1352741,Favorite Class,0.1416457519,0.1190549747,0.06945047077,0.07100829916,0.07044738101,0.056170697,0.08340188466,0.0355741841,0.08830112137,0.07087334816,0.06478876969,0.03331149475,0.04759548354
2,A2062098,1352741,School Improvement,0.1156537743,0.1785357868,0.06880863915,0.08197128908,0.06309129417,0.06972819482,0.102290919,0.04518573399,0.112553077,0.08746690453,0.07708327607,0.03771092676,0.0621629511
3,A2062098,1352741,Questions,0.03009001248,0.0293665524,0.06786870887,0.0233045252,0.02618459762,0.02299134059,0.02739574309,0.02008722715,0.02527977765,0.03363702734,0.02942227691,0.01114451708,0.01182184834
4,A2071278,1360573,Favorite Class,0.1569947709,0.07533906741,0.04360580199,0.03952814072,0.05713742806,0.05001226045,0.06680512077,0.02699785296,0.06824777672,0.06016837675,0.06213696552,0.02546794908,0.04600340189
5,A2071278,1360573,School Improvement,0.08743043036,0.1338783261,0.03932222777,0.0279246379,0.05116692842,0.0678674392,0.06676874525,0.02982998094,0.09702011778,0.07195878085,0.07041990479,0.02838950456,0.03270196068
6,A2071278,1360573,Questions,0.02964458642,0.02545173389,0.1177990183,0.01512859017,0.02890890524,0.0334503807,0.03361762423,0.03354741474,0.0318345678,0.03860882498,0.0376208557,0.01746266749,0.01871353287
7,A2086310,1375101,Favorite Class,0.1186401688,0.07074703615,0.04035532219,0.0385121767,0.05810781106,0.04254738842,0.06199257305,0.03462734848,0.06865059792,0.06303249538,0.060088962,0.02233089504,0.04367793624
8,A2086310,1375101,School Improvement,0.05317034086,0.09437393982,0.02937586829,0.01973538992,0.02643149333,0.03759222243,0.03741335858,0.01837922698,0.04806139642,0.04052470769,0.0388316575,0.01982831467,0.02749209205
9,A2086310,1375101,Questions,0.0255302859,0.05589984738,0.07081060009,0.009330052787,0.01282150994,0.02536700334,0.03988827393,0.02498241718,0.04442405612,0.02701138296,0.02500458571,0.01204426229,0.008833481301
10,A2097154,1385069,Favorite Class,0.2891887692,0.1638298391,0.09101937061,0.0913869527,0.1089390313,0.08955195765,0.1367103353,0.06789546715,0.1148654017,0.09855388761,0.09364862691,0.06348957708,0.09815344319
11,A2097154,1385069,School Improvement,0.1364007791,0.2259350938,0.1065146115,0.08561552782,0.1100226499,0.1090894338,0.138971759,0.0635933004,0.158487,0.1154403729,0.1063882399,0.08115372927,0.07766619903
12,A2097154,1385069,Questions,0.0816496236,0.1095448461,0.1749713686,0.05026597487,0.07063237491,0.06746726577,0.09445494229,0.05586516763,0.1066619891,0.07523214001,0.06730330641,0.04229080493,0.0355846655
