no, testId,topic, distIMF, distIMM, distISE, distINE, maxSim, predicted, expected
1,1667891,Wishlist,0.08697645092626084,0.07822731921776237,0.04469201682023438,0.7740610093660699,0.7740610093660699,N-NE,N-NE
2,1667891,About Me,0.2317340178762789,0.3190395117046607,0.18143322840807635,0.11100097947227083,0.3190395117046607,N-MM,N-MM
3,1667891,School Supplies,0.2574638727838399,0.19880650287535592,0.3055265196540769,0.13266605610940543,0.3055265196540769,N-SE,N-SE
4,1786865,About Me,0.19514122894235034,0.20408570623021396,0.47925134350298393,0.302066594168185,0.47925134350298393,N-SE,N-NE
5,1786865,School Supplies,0.19514122894235034,0.20408570623021396,0.47925134350298393,0.302066594168185,0.47925134350298393,N-SE,N-NE
6,1786865,Wishlist,0.0027103647870526507,0.0,0.0,0.010888263365914065,0.010888263365914065,N-NE,N-NE
7,1417170,About Me,0.5321945363933388,0.3596941098483067,0.3142267712209684,0.16997717866662643,0.5321945363933388,N-MF,N-MF
8,1417170,Things To Do,0.432459956306071,0.2436096446472284,0.1333790844635023,0.05686996301102777,0.432459956306071,N-MF,N-MF
9,1417170,Best Friend,0.43644470137316527,0.30386575242974156,0.2962031348488846,0.16890717096731173,0.43644470137316527,N-MF,N-MF
10,1495628,About Me,0.2710749912337913,0.1093411666919867,0.08690480274690747,0.06194802390269341,0.2710749912337913,N-MF,N-NE
11,1495628,School Supplies,0.11457417862469649,0.2149727582053032,0.11621818687578993,0.058499350184445964,0.2149727582053032,N-MM,N-MM
12,1495628,Wishlist,0.2525024193214651,0.22248851393375849,0.18083530221573144,0.05286692062158685,0.2525024193214651,N-MF,N-MM
13,1478868,Best Friend,0.23719328663552658,0.15922922743962312,0.05608733403110136,0.01157330943658021,0.23719328663552658,N-MF,N-NE
14,1478868,About Me,0.2554021229939788,0.19854132154748655,0.28426526485023035,0.1307163794321464,0.28426526485023035,N-SE,N-MF
15,1478868,Things To Do,0.36996034254412086,0.18234745049043632,0.08230529769840007,0.040082719896572416,0.36996034254412086,N-MF,N-SE
16,1678025,About Me,0.547344817800606,0.3417228453745063,0.2944410135864041,0.15839977856432774,0.547344817800606,N-MF,N-MF
17,1678025,Things To Do,0.47886478901359164,0.25254734982459764,0.17154340952215494,0.055121404468254025,0.47886478901359164,N-MF,N-MF
18,1678025,Best Friend,0.30346874948773594,0.2649507345777826,0.2139046420817045,0.17179474482480966,0.30346874948773594,N-MF,N-MF
19,1838797,About Me,0.34534802138346077,0.19593049740380797,0.14410351263051902,0.058403433451606965,0.34534802138346077,N-MF,N-MF
20,1838797,Wishlist,0.31154802802253684,0.1999797345086845,0.18943097244153748,0.0329987887173003,0.31154802802253684,N-MF,N-MF
21,1838797,School Supplies,0.27436120220888804,0.17566063114234154,0.18294395669211388,0.0446596849078882,0.27436120220888804,N-MF,N-MF
22,1498742,About Me,0.7340934519295464,0.4933988379298754,0.4025130463196862,0.17183364323418665,0.7340934519295464,N-MF,N-MF
23,1498742,School Supplies,0.19514122894235034,0.20408570623021396,0.47925134350298393,0.302066594168185,0.47925134350298393,N-SE,N-NE
24,1498742,Wishlist,0.0,0.0,0.0,0.0,0.0,N-MF,N-NE
25,1811216,Wishlist,0.2831362791861589,0.19233743048199659,0.21279774473031768,0.0941282513718453,0.2831362791861589,N-MF,N-MF
26,1811216,About Me,0.3315027218730062,0.2095713406818297,0.12631118587631593,0.06428561849103027,0.3315027218730062,N-MF,N-MF
27,1811216,School Supplies,0.1845333835210494,0.0932864248885274,0.09857838835412366,0.009040489855014024,0.1845333835210494,N-MF,N-NE
28,1417130,Things To Do,0.3522931024203193,0.25616038417641795,0.2630071419551514,0.13656544716785365,0.3522931024203193,N-MF,N-MF
29,1417130,About Me,0.5349816553242586,0.35351562752726845,0.2661753055908326,0.14277024976444208,0.5349816553242586,N-MF,N-MF
30,1417130,Best Friend,0.46662837885079533,0.33266230500273186,0.33810119807607275,0.174540439649323,0.46662837885079533,N-MF,N-MF
31,1841498,About Me,0.2758057944471006,0.23766223088660177,0.2381499409666296,0.12360045367089756,0.2758057944471006,N-MF,N-MF
32,1841498,Wishlist,0.34209972880188355,0.22094072178645907,0.21434475273365283,0.03790159415644435,0.34209972880188355,N-MF,N-MF
33,1841498,School Supplies,0.31119793877651625,0.20256219759368294,0.19747229849915474,0.044851736476404114,0.31119793877651625,N-MF,N-MF
34,1966632,Best Friend,0.49910358330059723,0.324377175327464,0.2109443763290162,0.09163150292359953,0.49910358330059723,N-MF,N-MF
35,1966632,About Me,0.5638959528205681,0.35972353995380063,0.3661326775058149,0.1879654011322562,0.5638959528205681,N-MF,N-MF
36,1966632,Things To Do,0.5492989711597909,0.32939475503361115,0.2117424230547905,0.06276865312994853,0.5492989711597909,N-MF,N-MF
37,1642913,About Me,0.3643690669733167,0.27100258167872404,0.5744092093106696,0.24089931934817355,0.5744092093106696,N-SE,N-SE
38,1642913,School Supplies,0.16916311275497858,0.17816400552938189,0.5293438170745315,0.5095881460565893,0.5293438170745315,N-SE,N-NE
39,1642913,Wishlist,0.205170846219346,0.14235559480832724,0.2101060538161379,0.03120198129750404,0.2101060538161379,N-SE,N-SE
40,1413708,Things To Do,0.49417700463182784,0.2748692551900318,0.13599870217568402,0.04462021406327431,0.49417700463182784,N-MF,N-MF
41,1413708,Best Friend,0.47232274291497406,0.2817973028679184,0.20820127601847882,0.0627527396940637,0.47232274291497406,N-MF,N-MF
42,1413708,About Me,0.5184950015125234,0.2939993263118337,0.22904862924996677,0.10599481373386015,0.5184950015125234,N-MF,N-MF
43,1530414,Wishlist,0.2446446102801345,0.29517114176629333,0.2010596727415086,0.10583590265972737,0.29517114176629333,N-MM,N-MM
44,1530414,About Me,0.25346849221576756,0.24566980752481385,0.5360669416129205,0.3835149672925231,0.5360669416129205,N-SE,N-NE
45,1530414,School Supplies,0.31348886885424354,0.3289644755701154,0.17795496966148783,0.04497120218401707,0.3289644755701154,N-MM,N-MM
46,1480932,Wishlist,0.26956839200635097,0.24485895175170325,0.6563341724853844,0.34997392542950645,0.6563341724853844,N-SE,N-SE
47,1480932,About Me,0.3695465329316739,0.31547624801063767,0.6962019276867345,0.38747271121651744,0.6962019276867345,N-SE,N-SE
48,1480932,School Supplies,0.36620110677214135,0.33514852155635155,0.6037458502482376,0.5189244796721184,0.6037458502482376,N-SE,N-NE
49,1620683,Things To Do,0.2710749912337913,0.1093411666919867,0.08690480274690747,0.06194802390269341,0.2710749912337913,N-MF,N-NE
50,1620683,Best Friend,0.2710749912337913,0.1093411666919867,0.08690480274690747,0.06194802390269341,0.2710749912337913,N-MF,N-NE
51,1620683,About Me,0.4321597987707242,0.2734639667410933,0.2228452964846252,0.13897597434477849,0.4321597987707242,N-MF,N-MF
52,1910822,About Me,0.5415237599841265,0.39755908356748637,0.2972534833959379,0.1486593876673833,0.5415237599841265,N-MF,N-MF
53,1910822,School Supplies,0.35035176471386037,0.30939368545325857,0.28025200518707516,0.1788127128033009,0.35035176471386037,N-MF,N-MF
54,1910822,Wishlist,0.2710749912337913,0.1093411666919867,0.08690480274690747,0.06194802390269341,0.2710749912337913,N-MF,N-NE
