no,username,testId,topic,Summer Break,Self Recommnedation,Social media,POP_CULTURE,LANGUAGE ARTS,EDUCATION,ENVIRONMENT,HEALTH,
1,A2019982,1314458,Summer Break,0.0780196630526262,0.05583133067036406,0.05220201069019736,0.0402884565664354,0.05514539942093605,0.04974766800959047,0.03807512241751704,0.03656304969743268,
2,A2019982,1314458,Self Recommnedation,0.0021278256342238413,0.004898322593635775,0.0045623217705572155,0.012390813236305736,0.002250876125469924,0.005284514278885409,0.004043148510033011,0.0022896003673873407,
3,A2019982,1314458,Social media,0.06847993029779244,0.05346835251081974,0.05900348161739152,0.0414955979879773,0.03918852361546837,0.04830584237976087,0.04187309316198189,0.03696556133989952,
4,A2051138,1342387,Summer Break,0.14075903119049768,0.08953180806159243,0.08802055891100936,0.07159463215227355,0.07496906081274285,0.07962539340138404,0.07518708658008133,0.04751177290905473,
5,A2051138,1342387,Self Recommnedation,0.07163934307306724,0.1624602749644508,0.07244131828991289,0.046602368224981774,0.06286531306663111,0.05984464761836179,0.05666756494031098,0.04615372885752418,
6,A2051138,1342387,Social media,0.053468784624619674,0.056406385838504214,0.0940607575497083,0.05204085607456782,0.07967379538558005,0.05979068235134269,0.04312824796966304,0.06071329314694367,
7,A2051150,1342399,Summer Break,0.16080106326189747,0.07528305314433942,0.06336025986314973,0.04903286164711192,0.05642855121217404,0.050785160870676097,0.04476344636072289,0.046231479686997236,
8,A2051150,1342399,Self Recommnedation,0.10920484614575485,0.17773488272219767,0.10627855142712234,0.06583967322028407,0.09155463565035066,0.08031457722070906,0.07442631026757972,0.07238891759479232,
9,A2051150,1342399,Social media,0.055200374062936194,0.05727383755319845,0.12046420383413063,0.061996356018899586,0.07274442573247475,0.06797782233072189,0.05371824811658333,0.07685024819012742,
10,A2069488,1359190,Summer Break,0.07370917694976394,0.051037380991952125,0.060340622324303254,0.04838427364176909,0.05052988815930198,0.0492658794048818,0.04124388201337853,0.044723897942133356,
11,A2069488,1359190,Self Recommnedation,0.06471489115152268,0.12657053750054018,0.05851901686983532,0.03955196094883901,0.054636112517321006,0.04642694000168078,0.046031899195268844,0.03195263107478796,
12,A2069488,1359190,Social media,0.02576364497863292,0.023829763864185595,0.053288080094019905,0.02335131778174762,0.027624385864637765,0.01963720636952444,0.025030654864245674,0.016569032767942277,
13,A2069988,1359621,Summer Break,0.18648045865143154,0.11015968231344903,0.10353029054074292,0.08508173702664361,0.10428706101177061,0.08041637415377526,0.078055504604332,0.05400513976161335,
14,A2069988,1359621,Self Recommnedation,0.10587938336980049,0.20132920702484747,0.09219742039769398,0.06326301363202791,0.09145399136764824,0.08962964819091111,0.08186266233141787,0.04948803449722468,
